"","x"
"1888",6
"1889",0
"1890",0
"1891",0
"1892",1
"1893",0
"1894",4
"1895",1
"1896",0
"1897",0
"1898",0
"1899",0
"1900",0
"1901",0
"1902",8
"1903",6
"1904",0
"1905",0
"1906",0
"1907",0
"1908",0
"1909",0
"1910",0
"1911",0
"1912",0
"1913",0
"1914",7
"1915",0
"1916",4
"1917",0
"1918",18
"1919",3
"1920",0
"1921",0
"1922",0
"1923",16
"1924",1
"1925",0
"1926",0
"1927",0
"1928",0
"1929",0
"1930",0
"1931",0
"1932",0
"1933",0
"1934",0
"1935",0
"1936",3
"1937",0
"1938",1
"1939",0
"1940",0
"1941",32
"1942",0
"1943",0
"1944",0
"1945",3
"1946",0
"1947",0
"1948",0
"1949",0
"1950",0
"1951",0
"1952",0
"1953",0
"1954",0
"1955",0
"1956",0
"1957",2
"1958",0
"1959",0
"1960",0
"1961",2
"1962",1
"1963",1
"1964",0
"1965",0
"1966",9
"1967",0
"1968",0
"1969",0
"1970",0
"1971",0
"1972",0
"1973",0
"1974",0
"1975",1
"1976",3
"1977",0
"1978",1
"1979",0
"1980",0
"1981",0
"1982",0
"1983",3
"1984",1
"1985",8
"1986",0
"1987",0
"1988",3
"1989",1
"1990",0
"1991",0
"1992",0
"1993",10
"1994",0
"1995",0
"1996",0
"1997",0
"1998",0
"1999",1
"2000",1
"2001",0
"2002",0
"2003",0
"2004",0
"2005",0
"2006",0
"2007",0
"2008",0
"2009",1
"2010",0
"2011",0
"2012",3
"2013",0
"2014",0
"2015",4
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",2
"2022",2
"2023",0
"2024",0
"2025",19
"2026",0
"2027",0
"2028",0
"2029",1
"2030",0
"2031",0
"2032",20
"2033",0
"2034",0
"2035",0
"2036",3
"2037",0
"2038",0
"2039",0
"2040",0
"2041",0
"2042",2
"2043",0
"2044",0
"2045",0
"2046",0
"2047",0
"2048",0
"2049",0
"2050",0
"2051",0
"2052",0
"2053",3
"2054",0
"2055",3
"2056",0
"2057",0
"2058",0
"2059",15
"2060",0
"2061",0
"2062",0
"2063",0
"2064",0
"2065",0
"2066",1
"2067",0
"2068",1
"2069",0
"2070",0
"2071",0
"2072",0
"2073",0
"2074",2
"2075",0
"2076",1
"2077",1
"2078",4
"2079",0
"2080",23
"2081",0
"2082",0
"2083",0
"2084",0
"2085",1
"2086",1
"2087",0
"2088",0
"2089",11
"2090",0
"2091",0
"2092",4
"2093",0
"2094",0
"2095",0
"2096",0
"2097",0
"2098",1
"2099",0
"2100",5
"2101",0
"2102",1
"2103",0
"2104",0
"2105",0
"2106",0
"2107",1
"2108",1
"2109",0
"2110",0
"2111",0
"2112",0
"2113",0
"2114",0
"2115",0
"2116",0
"2117",0
"2118",0
"2119",0
"2120",0
"2121",0
"2122",0
"2123",0
